Date,Team,Opp,VOID,GameId,HorA,Win_Odds,CS_Odds,Odds_GF,Pinn_Odds,Pinn_CS,Pinn_Goals,bet365_CS,skybet_CS,PaddyPower_CS,WilliamHill_CS,888sport_CS,betfair_CS,BetVictor_CS,UniBet_CS,MansionBet_CS,BetFred_CS,SBK_CS,BetWay_CS,BoyleSports_CS,10bet_CS,SportNation_CS,novibet_CS,VBet_CS,SportingIndex_CS,GentingBet_CS,RedZone_CS,SpreadEx_CS,bet365_Goals,skybet_Goals,PaddyPower_Goals,WilliamHill_Goals,888sport_Goals,betfair_Goals,BetVictor_Goals,UniBet_Goals,MansionBet_Goals,BetFred_Goals,SBK_Goals,BetWay_Goals,BoyleSports_Goals,10bet_Goals,SportNation_Goals,novibet_Goals,VBet_Goals,SportingIndex_Goals,GentingBet_Goals,RedZone_Goals,SpreadEx_Goals,OddsShark_GF,FiveThirtyEight_Odds,FiveThirtyEight_Goals,FiveThirtyEight_SPI,FiveThirtyEight_Importance,GamesPlayed,xG,xA,PSxG,PSxG/SoT,Sh,SoT,KP,Fls,Fld,Crs,Int,TklW,xG_A,xA_A,PSxG_A,PSxG/SoT_A,Sh_A,SoT_A,KP_A,Fls_A,Fld_A,Crs_A,Int_A,TklW_A,MatchReport_URL,Real_Sh,Real_SoT,Real_KP,Real_Fls,Real_Fld,Real_Crs,Real_Int,Real_TklW,Real_Goals,SoT%,Real_Chances,Real_xPTS,game_xG,game_xA,game_PSxG,game_PSxG/SoT,game_KP
8/27/21,Mallorca,Espanyol,void,10,H,36.17021277,38.13223924,1.249833375,,,,38.0952381,36.36363636,,40.0,,,,,,,,,,,,,38.88888889,37.31343284,,,,1.236538462,0.861538462,,0.892857143,,,,,,,,,,,,,0.904761905,0.853470902,,,,1.2,41.11,1.29,62.28,33.8,2,1.4,1.1,1.1,0.37,18,3,10,27,31,22,15,16,1.4,0.9,0.2,0.1,18,2,13,32,26,27,18,22,https://fbref.com/en/matches/18ddc36b/Mallorca-Espanyol-August-27-2021-La-Liga,12.0,6.0,8.0,16.0,17.0,10.0,10.0,11.0,1.0,0.5,,,,,,,
8/27/21,Espanyol,Mallorca,void,10,A,31.70731707,35.82176708,1.160935067,,,,36.36363636,34.7826087,,35.71428571,,,,,,,,,,,,,37.03703704,35.21126761,,,,1.161111111,0.865497076,,0.851449275,,,,,,,,,,,,,0.893356643,0.833261227,,,,0.5,29.54,1.05,63.82,32.4,2,2.5,1.6,1.5,0.26,24,6,16,22,26,23,19,19,1.6,1.0,0.2,0.05,27,3,18,28,20,37,16,15,https://fbref.com/en/matches/18ddc36b/Mallorca-Espanyol-August-27-2021-La-Liga,8.0,3.0,2.0,17.0,16.0,7.0,5.0,6.0,0.0,0.375,,,,,,,
8/27/21,Valencia,Alavés,void,11,H,52.38095238,44.85726834,1.619724202,,,,45.45454545,44.44444444,,45.45454545,,,,,,,,,,,,,45.45454545,43.47826087,,,,1.601731602,0.952380952,,0.956043956,,,,,,,,,,,,,0.977124183,0.944673649,,,,1.7,47.28,1.53,66.98,22.0,2,3.2,1.0,2.2,0.06,21,6,15,36,29,18,22,15,2.0,1.3,2.4,0.4,31,6,20,29,35,29,17,12,https://fbref.com/en/matches/3334afc1/Valencia-Alaves-August-27-2021-La-Liga,9.0,4.0,9.0,22.0,15.0,9.0,19.0,4.0,3.0,0.444444444,,,,,,,
8/27/21,Alavés,Valencia,void,11,A,21.73913043,24.92801401,1.014770187,,,,25.0,23.07692308,,26.66666667,,,,,,,,,,,,,26.08695652,23.80952381,,,,0.994405594,0.763636364,,0.808163265,,,,,,,,,,,,,0.806791009,0.777777778,,,,0.6,25.65,1.06,62.64,33.6,2,2.2,0.9,1.1,0.05,19,5,14,28,23,26,18,22,2.6,2.2,3.3,0.37,32,9,19,25,27,24,31,17,https://fbref.com/en/matches/3334afc1/Valencia-Alaves-August-27-2021-La-Liga,9.0,2.0,8.0,15.0,22.0,13.0,10.0,10.0,0.0,0.222222222,,,,,,,
8/28/21,Celta Vigo,Athletic Club,void,12,H,39.13043478,36.71091625,1.377298099,,,,38.0952381,34.7826087,,,,,,,,,,,,,,,37.25490196,,,,,1.361538462,0.9,,,,,,,,,,,,,,,0.947278912,,,,,1.5,39.38,1.33,68.09,22.9,2,2.2,1.2,1.0,0.11,13,1,8,19,27,24,31,25,3.4,2.1,4.3,0.35,27,10,22,28,19,23,32,20,https://fbref.com/en/matches/70bf2efa/Celta-Vigo-Athletic-Club-August-28-2021-La-Liga,12.0,0.0,10.0,17.0,11.0,20.0,13.0,20.0,0.0,0.0,,,,,,,
8/28/21,Athletic Club,Celta Vigo,void,12,A,32.25806452,31.0819262,1.214180751,,,,30.76923077,30.76923077,,,,,,,,,,,,,,,31.70731707,,,,,1.194871795,0.882591093,,,,,,,,,,,,,,,0.898412698,,,,,0.7,32.17,1.17,72.04,28.9,2,2.2,1.2,1.6,0.17,25,9,14,34,22,31,21,15,1.9,1.2,0.6,0.11,17,5,12,23,31,31,25,12,https://fbref.com/en/matches/70bf2efa/Celta-Vigo-Athletic-Club-August-28-2021-La-Liga,6.0,2.0,6.0,12.0,16.0,10.0,21.0,14.0,1.0,0.333333333,,,,,,,
8/28/21,Elche,Sevilla,void,13,H,17.85714286,23.51870352,0.946054275,,,,23.07692308,22.22222222,,23.80952381,,,,,,,,,,,,,24.67532468,23.80952381,,,,0.963636364,0.733333333,,0.733333333,,,,,,,,,,,,,0.76754386,0.732424485,,,,0.2,19.62,0.83,59.89,39.4,2,1.1,1.0,0.2,0.06,12,4,9,23,34,23,24,13,1.9,1.8,1.2,0.18,17,7,13,35,22,18,23,23,https://fbref.com/en/matches/38ea97e2/Elche-Sevilla-August-28-2021-La-Liga,7.0,4.0,5.0,9.0,10.0,8.0,21.0,7.0,1.0,0.571428571,,,,,,,
8/28/21,Sevilla,Elche,void,13,A,54.54545455,48.39316398,1.645535168,,,,47.61904762,47.61904762,,51.28205128,,,,,,,,,,,,,48.27586207,47.16981132,,,,1.627372627,0.952380952,,0.969187675,,,,,,,,,,,,,0.985962567,0.923541247,,,,2.0,53.44,1.56,80.64,59.0,2,4.3,3.0,3.7,0.34,29,10,24,24,24,17,23,16,0.8,0.6,0.6,0.19,16,3,10,25,24,14,34,15,https://fbref.com/en/matches/38ea97e2/Elche-Sevilla-August-28-2021-La-Liga,18.0,5.0,17.0,11.0,8.0,23.0,25.0,8.0,1.0,0.277777778,,,,,,,
8/28/21,Real Sociedad,Levante,void,14,H,62.5,43.93997456,1.937282122,,,,44.44444444,42.10526316,,46.51162791,,,,,,,,,,,,,44.44444444,42.19409283,,,,1.927884615,0.923076923,,0.937965261,,,,,,,,,,,,,0.964791503,0.932692308,,,,2.3,62.13,1.93,78.33,54.0,2,2.9,1.8,4.0,0.3,23,10,16,37,25,21,26,22,3.2,2.6,3.5,0.39,22,9,17,26,35,20,27,20,https://fbref.com/en/matches/10bdbdae/Real-Sociedad-Levante-August-28-2021-La-Liga,7.0,2.0,6.0,17.0,15.0,7.0,13.0,7.0,1.0,0.285714286,,,,,,,
8/28/21,Levante,Real Sociedad,void,14,A,16.12903226,16.57595357,1.037252599,,,,16.66666667,15.38461538,,16.66666667,,,,,,,,,,,,,18.03278689,16.12903226,,,,1.047435897,0.8,,0.808163265,,,,,,,,,,,,,0.818604651,0.78898226,,,,0.3,15.22,0.83,64.06,25.3,2,3.0,1.6,2.6,0.37,21,7,13,33,15,23,25,20,1.6,1.0,2.0,0.29,28,7,19,17,30,27,31,20,https://fbref.com/en/matches/10bdbdae/Real-Sociedad-Levante-August-28-2021-La-Liga,6.0,0.0,3.0,15.0,17.0,10.0,20.0,13.0,0.0,0.0,,,,,,,
