Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
11/21/20,Lazio,Crotone,,,,,56.5,36.36,1.93,2.6,50,20,16.67,80,83.33,25,75,,,,
11/21/20,Spezia,Atalanta,,,,,13.33,9.09,1.24,0.4,15,68.97,36.36,31.03,63.64,66,34,,,,
11/21/20,Atalanta,Spezia,,,,,68.97,36.36,2.32,3.4,66,13.33,9.09,86.67,90.91,15,85,,,,
11/21/20,Juventus,Cagliari,,,,,74.07,47.62,2.43,3.3,78,7.69,7.69,92.31,92.31,7,93,,,,
11/21/20,Cagliari,Juventus,,,,,7.69,7.69,0.91,0.4,7,74.07,47.62,25.93,52.38,78,22,,,,
11/22/20,Fiorentina,Benevento,,,,,63.69,38.17,2.1,2.8,56,15.38,12.5,84.62,87.5,20,80,,,,
11/22/20,Benevento,Fiorentina,,,,,15.38,12.5,1.2,0.5,20,63.69,38.17,36.31,61.83,56,44,,,,
11/22/20,Inter,Torino,,,,,72.99,44.44,2.4,3.4,80,11.11,9.09,88.89,90.91,6,94,,,,
11/22/20,Torino,Inter,,,,,11.11,9.09,1.05,0.3,6,72.99,44.44,27.01,55.56,80,20,,,,
11/22/20,Roma,Parma,,,,,64.94,38.17,2.2,3,70,15.38,11.11,84.62,88.89,12,88,,,,
11/22/20,Parma,Roma,,,,,15.38,11.11,1.2,0.6,12,64.94,38.17,35.06,61.83,70,30,,,,
11/22/20,Sampdoria,Bologna,,,,,38.91,25,1.6,1.8,43,35.71,25,64.29,75,31,69,,,,
11/22/20,Bologna,Sampdoria,,,,,35.71,25,1.62,1.2,31,38.91,25,61.09,75,43,57,,,,
11/22/20,Hellas Verona,Sassuolo,,,,,30.77,18.18,1.6,1.6,32,44.44,25,55.56,75,42,58,,,,
11/22/20,Sassuolo,Hellas Verona,,,,,44.44,25,1.81,1.8,42,30.77,18.18,69.23,81.82,32,68,,,,
11/22/20,Udinese,Genoa,,,,,52.36,40,1.74,2,48,21.74,20,78.26,80,23,77,,,,
11/22/20,Genoa,Udinese,,,,,21.74,20,1.11,0.8,23,52.36,40,47.64,60,48,52,,,,
11/22/20,Napoli,Milan,,,,,42.55,28.57,1.7,1.9,44,30.77,22.22,69.23,77.78,30,70,,,,
11/22/20,Milan,Napoli,,,,,30.77,22.22,1.46,0.9,30,42.55,28.57,57.45,71.43,44,56,,,,
11/28/20,Sassuolo,Inter,,,,,22.73,14.29,1.42,0.8,22,55.56,29.41,44.44,70.59,56,44,,,,
11/28/20,Inter,Sassuolo,,,,,55.56,29.41,2.05,2.8,56,22.73,14.29,77.27,85.71,22,78,,,,
11/28/20,Benevento,Juventus,,,,,9.52,7.69,0.98,0.4,13,75.19,47.62,24.81,52.38,69,31,,,,
11/28/20,Juventus,Benevento,,,,,75.19,47.62,2.40,3.2,69,9.52,7.69,90.48,92.31,13,87,,,,
11/28/20,Atalanta,Hellas Verona,,,,,70.92,42.19,2.32,3.6,70,11.11,9.09,88.89,90.91,11,89,,,,
11/28/20,Hellas Verona,Atalanta,,,,,11.11,9.09,1.09,0,11,70.92,42.19,29.08,57.81,70,30,,,,
