Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
11/1/20,Hertha BSC,Wolfsburg,,,,,38.1,26.67,1.54,1.1,38,35.71,26.67,64.29,73.33,24,76,5,20,1,0.25
11/1/20,Wolfsburg,Hertha BSC,,,,,35.71,26.67,1.54,1.7,35,38.1,26.67,61.9,73.33,38,62,4,11,1,0.364
11/2/20,Hoffenheim,Union Berlin,,,,,49.63,30.77,1.83,2.4,58,25,18.18,75,81.82,18,82,5,10,1,0.5
11/2/20,Union Berlin,Hoffenheim,,,,,25,18.18,1.36,0.7,18,49.63,30.77,50.37,69.23,58,42,6,9,3,0.667
11/6/20,Werder Bremen,Koln,,,,,39.13,28.57,1.6,1.9,40,33.93,25,66.07,75,33,67,3,18,1,0.167
11/6/20,Koln,Werder Bremen,,,,,33.93,25,1.46,0.9,33,39.13,28.57,60.87,71.43,40,60,1,7,1,0.143
11/7/20,Augsburg,Hertha BSC,,,,,29.85,25,1.46,1.6,36,40,28.57,60,71.43,37,63,1,9,0,0.111
11/7/20,Hertha BSC,Augsburg,,,,,40,28.57,1.6,1.4,37,29.85,25,70.15,75,36,64,5,11,3,0.455
11/7/20,Mainz 05,Schalke 04,,,,,44.44,29.41,1.7,2.1,47,30.3,23.08,69.7,76.92,27,73,5,11,2,0.455
11/7/20,Schalke 04,Mainz 05,,,,,30.3,23.08,1.43,0.7,27,44.44,29.41,55.56,70.59,47,53,3,21,2,0.143
11/7/20,RB Leipzig,Freiburg,,,,,73.91,50,2.29,3,72,10,10,90,90,10,90,6,15,3,0.4
