Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
11/28/20,Bordeaux,Paris S-G,,,,,5.88,5.26,0.89,0,3,83.33,50.00,16.67,50.00,87,13,,,,
11/29/20,Lyon,Reims,,,,,68.49,47.62,2.10,2.5,68,11.11,12.50,88.89,87.50,11,89,,,,
11/29/20,Reims,Lyon,,,,,11.11,12.50,0.93,0.2,11,68.49,47.62,31.51,52.38,68,32,,,,
11/29/20,Lens,Angers,,,,,46.51,38.17,1.54,1.7,46,27.55,38.17,72.45,61.83,27,73,,,,
11/29/20,Angers,Lens,,,,,27.55,38.17,1.19,0.9,27,46.51,38.17,53.49,61.83,46,54,,,,
11/29/20,Lorient,Montpellier,,,,,28.99,26.67,1.28,1.2,38,45.45,33.33,54.55,66.67,36,64,,,,
11/29/20,Montpellier,Lorient,,,,,45.45,33.33,1.54,1.4,36,28.99,26.67,71.01,73.33,38,62,,,,
11/29/20,Metz,Brest,,,,,42.74,33.33,1.54,1.8,42,30.30,26.67,69.70,73.33,32,68,,,,
11/29/20,Brest,Metz,,,,,30.30,26.67,1.28,0.6,32,42.74,33.33,57.26,66.67,42,58,,,,
11/29/20,Monaco,Nimes,,,,,69.44,44.44,2.16,2.4,69,12.20,11.11,87.80,88.89,12,88,,,,
11/29/20,Nimes,Monaco,,,,,12.20,11.11,1.05,0.6,12,69.44,44.44,30.56,55.56,69,31,,,,
11/29/20,Nice,Dijon,,,,,53.19,40.00,1.74,2.4,52,21.74,20.00,78.26,80.00,22,78,,,,
11/29/20,Dijon,Nice,,,,,21.74,20.00,1.11,0.2,22,53.19,40.00,46.81,60.00,52,48,,,,
11/29/20,Saint-Etienne,Lille,,,,,18.52,20.00,1.09,0.3,18,57.14,42.19,42.86,57.81,57,43,,,,
11/29/20,Lille,Saint-Etienne,,,,,57.14,42.19,1.79,2.4,57,18.52,20.00,81.48,80.00,18,82,,,,
