Date,Team,Opp,Shots/90,OppShotsA/90,SoT/90,Opp_SoTA/90,Win_Odds,CS_Odds,Odds_GF,OddsShark_GF,Avg_GF,FiveThirtyEight_Odds,Opp_Odds,Opp_CS_Odds,Opp_Odds_INV,Opp_CS_Odds_INV,Opp_FiveThirtyEight_Odds,Opp_FiveThirtyEight_Odds_INV,Real_SoT,Real_Shots,Real_Goals,SoT%
11/21/20,Orlando,NYCFC,,,,,39.22,25,1.63,1.7,1.66,52,37.74,25,62.26,75,48,52,3,16,1,0.1875
11/21/20,NYCFC,Orlando,,,,,37.74,25,1.63,1.2,1.41,48,39.22,25,60.78,75,52,48,7,26,1,0.269230769
11/21/20,Columbus,NY Red Bulls,,,,,52.08,33.33,1.79,2.1,1.95,62,26.32,20,73.68,80,38,62,10,16,3,0.625
11/21/20,NY Red Bulls,Columbus,,,,,26.32,20,1.33,0.8,1.06,38,52.08,33.33,47.92,66.67,62,38,4,14,2,0.286
11/21/20,Sporting KC,San Jose,,,,,59.52,30.77,2.05,2.3,2.18,72,21.05,14.29,78.95,85.71,28,72,8,14,3,0.571
11/21/20,San Jose,Sporting KC,,,,,21.05,14.29,1.33,0.9,1.11,28,59.52,30.77,40.48,69.23,72,28,8,17,3,0.471
11/21/20,Minnesota,Colorado,,,,,46.51,28.57,1.74,1.9,1.82,60,30.77,22.22,69.23,77.78,40,60,8,17,3,0.471
11/21/20,Colorado,Minnesota,,,,,30.77,22.22,1.46,1.2,1.33,40,46.51,28.57,53.49,71.43,60,40,6,17,0,0.353
11/22/20,Portland,Dallas,,,,,48.31,33.33,1.74,2.1,1.92,62,28.57,22.22,71.43,77.78,38,62,8,22,1,0.364
11/22/20,Dallas,Portland,,,,,28.57,22.22,1.33,0.8,1.06,38,48.31,33.33,51.69,66.67,62,38,5,12,1,0.417
11/24/20,Toronto,Nashville,,,,,44.44,33.33,1.54,1.8,1.67,69,32.79,26.67,67.21,73.33,31,69,4,13,0,0.308
11/24/20,Nashville,Toronto,,,,,32.79,26.67,1.33,1,1.16,31,44.44,33.33,55.56,66.67,69,31,6,22,1,0.273
11/24/20,Philadelphia,New England,,,,,52.36,30.77,1.83,2.6,2.22,71,26.67,18.18,73.33,81.82,29,71,4,15,0,0.267
11/24/20,New England,Philadelphia,,,,,26.67,18.18,1.33,0.4,0.86,29,52.36,30.77,47.64,69.23,71,29,4,11,2,0.364
11/24/20,Seattle,LAFC,,,,,45.45,23.09,1.86,2,1.93,61,32.68,18.18,67.32,81.82,39,61,3,14,3,0.214
11/24/20,LAFC,Seattle,,,,,32.68,18.18,1.7,1.2,1.45,39,45.45,23.09,54.55,76.91,61,39,3,11,1,0.273
11/29/20,Orlando,New England,,,,,44.44,29.41,1.63,2,1.81,58,32.26,25,67.74,75,42,58,,,,
11/29/20,New England,Orlando,,,,,32.26,25,1.43,0.8,1.12,42,44.44,29.41,55.56,70.59,58,42,,,,
11/29/20,Columbus,Nashville,,,,,43.29,36.36,1.57,2,1.79,64,31.55,28.57,68.45,71.43,36,64,,,,
11/29/20,Nashville,Columbus,,,,,31.55,28.57,1.38,0.6,0.99,36,43.29,36.36,56.71,63.64,64,36,,,,
12/1/20,Seattle,Dallas,,,,,60.24,38.17,1.94,2.6,2.27,73,19.23,16.67,80.77,83.33,27,73,,,,
12/1/20,Dallas,Seattle,,,,,19.23,16.67,1.16,0.2,0.68,27,60.24,38.17,39.76,61.83,73,27,,,,
12/2/20,Sporting KC,Minnesota,,,,,59.88,38.17,2.01,2.3,2.16,64,18.18,15.38,81.82,84.62,36,64,,,,
12/2/20,Minnesota,Sporting KC,,,,,18.18,15.38,1.16,0.6,0.88,36,59.88,38.17,40.12,61.83,64,36,,,,
