Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,TeamSoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting
Michael Boxall,MIN,D,3000,5.00,0,0,2,0,0,0,201,0,7,6,9,3,0,2.60,1.70,0.1,6.3,0.02,0.02,0,4.4,0.00,0.00,9.5,3.5,73,0.03,0.26,0.00,0.00,47,0.00,0.00,0.21,1.33,-0.08,90,,y
Thomas Chacon,MIN,M,4600,0.50,0,0,0,0,3,0,21,2,1,1,0,0,0,10.04,10.04,0,6.3,0.00,0.00,0,4.4,0.00,0.00,9.5,3.5,73,0.00,0.00,0.00,0.00,47,0.00,0.00,0.21,1.33,-0.85,,9,b
Emanuel Reinoso,MIN,M,6600,1.81,0,1,3,1,5,5,78,7,8,5,2,1,0,12.73,15.22,0.2,6.3,0.03,0.04,0.6,4.4,0.14,0.18,9.5,3.5,73,0.04,0.39,0.33,0.13,47,0.11,0.65,0.21,1.33,-1.14,71.5,6.666666667,b
Ethan Finlay,MIN,M,5600,1.57,0,0,3,1,2,0,21,1,2,2,2,0,0,5.63,5.63,0.3,6.3,0.05,0.06,0,4.4,0.00,0.00,9.5,3.5,73,0.04,0.39,0.33,0.13,47,0.00,0.00,0.21,1.33,-1.35,54.5,10.66666667,
Luis Amarilla,MIN,F,8200,1.76,0,0,2,0,0,0,28,4,2,1,1,0,0,4.02,4.02,0.1,6.3,0.02,0.02,0,4.4,0.00,0.00,9.5,3.5,73,0.03,0.26,0.00,0.00,47,0.00,0.00,0.21,1.33,-1.46,63,10.66666667,
Bakaye Dibassy,MIN,D,5400,0.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0.45,0.45,0,6.3,0.00,0.00,0,4.4,0.00,0.00,9.5,3.5,73,0.00,0.00,0.00,0.00,47,0.00,0.00,0.21,1.33,-1.53,65,0.8,y
Dayne St. Clair,MIN,GK,5000,2.00,0,0,0,0,0,0,26,0,0,0,0,0,0,0.26,0.26,0,6.3,0.00,0.00,0,4.4,0.00,0.00,9.5,3.5,73,0.00,0.00,0.00,0.00,47,0.00,0.00,0.21,1.33,-1.59,90,0,y
Aaron Schoenfeld,MIN,F,3800,0.10,0,0,1,0,0,0,3,0,0,0,0,0,0,10.60,10.60,0,6.3,0.00,0.00,0,4.4,0.00,0.00,9.5,3.5,73,0.01,0.13,0.00,0.00,47,0.00,0.00,0.21,1.33,-1.84,,1.8,
Chase Gasper,MIN,D,5600,5.00,1,0,11,4,17,4,251,8,4,5,6,2,0,9.98,11.38,0.4,6.3,0.06,0.08,0.2,4.4,0.05,0.06,9.5,3.5,73,0.15,1.43,0.36,0.52,47,0.09,0.52,0.21,1.33,-1.85,90,,b
Greg Ranjitsingh,MIN,GK,4800,3.00,0,0,0,0,0,0,69,0,0,0,0,0,0,0.46,0.46,0,6.3,0.00,0.00,0,4.4,0.00,0.00,9.5,3.5,73,0.00,0.00,0.00,0.00,47,0.00,0.00,0.21,1.33,-1.85,90,0,
Osvaldo Alonso,MIN,M,3800,2.19,0,0,2,1,4,2,133,1,3,5,3,1,0,7.52,6.83,0,6.3,0.00,0.00,0.1,4.4,0.02,0.03,9.5,3.5,73,0.03,0.26,0.50,0.13,47,0.04,0.26,0.21,1.33,-1.85,65.66666667,0,
Romain Metanire,MIN,D,6400,4.90,0,1,0,0,30,4,245,10,4,5,6,1,1,9.37,9.06,0,6.3,0.00,0.00,0.6,4.4,0.14,0.18,9.5,3.5,73,0.00,0.00,0.00,0.00,47,0.09,0.52,0.21,1.33,-1.85,88.2,,
