Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,TeamSoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting
Will Bruin,SEA,F,6200,1.40,0,0,3,1,0,2,29,1,2,0,1,1,0,5.06,3.99,0.3,10.1,0.03,0.05,0.3,8,0.04,0.07,11.4,3.9,56,0.05,0.61,0.33,0.20,38,0.05,0.41,0.38,1.83,0.50,,25.2,
Miguel Ibarra,SEA,M,3000,0.16,0,0,1,0,1,0,4,0,0,1,1,0,0,21.09,21.09,0.3,10.1,0.03,0.05,0,8,0.00,0.00,11.4,3.9,56,0.02,0.20,0.00,0.00,38,0.00,0.00,0.38,1.83,0.46,,2.8,
Jordy Delem,SEA,M,3000,1.98,0,0,0,0,0,1,66,4,6,1,2,0,0,2.69,2.69,0,10.1,0.00,0.00,0,8,0.00,0.00,11.4,3.9,56,0.00,0.00,0.00,0.00,38,0.03,0.20,0.38,1.83,0.39,65.5,15.66666667,
Pablo Sisniega,LAFC,GK,5600,4.00,0,0,0,0,0,0,69,0,0,0,0,0,0,0.35,0.35,0,9.6,0.00,0.00,0,7.8,0.00,0.00,12.5,5.2,79,0.00,0.00,0.00,0.00,60,0.00,0.00,0.38,1.78,0.37,90,0,y
Handwalla Bwana,SEA,M,3000,0.74,0,0,1,1,1,0,17,1,1,1,0,0,0,6.10,6.10,0.1,10.1,0.01,0.02,0,8,0.00,0.00,11.4,3.9,56,0.02,0.20,1.00,0.20,38,0.00,0.00,0.38,1.83,0.11,55,3,
Eduard Atuesta,LAFC,M,5200,0.12,0,0,1,0,0,0,11,0,1,0,1,0,0,9.98,9.98,0.1,9.6,0.01,0.02,0,7.8,0.00,0.00,12.5,5.2,79,0.01,0.16,0.00,0.00,60,0.00,0.00,0.38,1.78,0.07,,2.2,
Danilo da Silva,LAFC,D,3400,0.42,0,0,0,0,0,0,11,1,0,0,0,0,0,2.89,2.89,0,9.6,0.00,0.00,0,7.8,0.00,0.00,12.5,5.2,79,0.00,0.00,0.00,0.00,60,0.00,0.00,0.38,1.78,0.02,38,0,
Jordan Harvey,LAFC,D,3000,1.00,0,0,0,0,0,0,32,1,4,0,3,1,0,1.14,-0.36,0,9.6,0.00,0.00,0,7.8,0.00,0.00,12.5,5.2,79,0.00,0.00,0.00,0.00,60,0.00,0.00,0.38,1.78,0.02,90,0,
Mohamed Traore,LAFC,D,3000,0.50,0,0,1,0,0,0,37,0,0,0,0,0,0,3.48,3.48,0,9.6,0.00,0.00,0,7.8,0.00,0.00,12.5,5.2,79,0.01,0.16,0.00,0.00,60,0.00,0.00,0.38,1.78,0.02,45,0,
Joshua Atencio,SEA,M,3600,0.07,0,0,0,0,0,0,7,0,0,0,0,0,0,2.10,2.10,0,10.1,0.00,0.00,0,8,0.00,0.00,11.4,3.9,56,0.00,0.00,0.00,0.00,38,0.00,0.00,0.38,1.83,0.00,,1.2,
Gustav Svensson,SEA,M,3200,2.00,0,0,2,0,0,0,91,1,3,6,4,0,0,5.66,5.66,0.1,10.1,0.01,0.02,0,8,0.00,0.00,11.4,3.9,56,0.04,0.41,0.00,0.00,38,0.00,0.00,0.38,1.83,-0.02,90,0,
