,Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,CrdR,Floor,FPTS,xG,Team_xG,xG_Share,Proj_Gls,xA,Team_xA,xA_Share,Proj_Ast,Team_Shot_Proj,Team_SoT_Proj,Team_Shots,Shot_Share,Proj_Shots,SoT%,Proj_SoT,Team_KP,KP_Share,Proj_KP,Team_Odds,Team_Goal_Odds,Pts_w_StartMins,Start_Mins,Sub_Mins,Starting,Player2
10,Kelvin Leerdam,SEA,D,5400,3.7222222222222223,3,1,7,3,7,4,140,0,4,2,5,1,0,6.501492537313433,15.770149253731342,1.2,9.2,0.13043478260869565,0.23217391304347826,0.5,7.600000000000001,0.06578947368421051,0.0967391304347826,12.5,5.2,48.0,0.14583333333333334,1.8229166666666667,0.42857142857142855,0.78125,34.0,0.11764705882352941,1.0416666666666667,0.38,1.78,8.671066947869349,81.75,8.0,y,Kelvin Leerdam
11,Joevin Jones,SEA,M,6600,3.7888888888888888,2,2,4,2,9,2,197,6,3,2,2,0,0,6.7935483870967746,15.239296187683284,1.0,9.2,0.10869565217391305,0.19347826086956524,0.2,7.600000000000001,0.026315789473684206,0.03869565217391305,12.5,5.2,48.0,0.08333333333333333,1.0416666666666665,0.5,0.5208333333333333,34.0,0.058823529411764705,0.5208333333333334,0.38,1.78,8.425172553019678,80.25,20.0,y,Joevin Jones
12,Latif Blessing,LAFC,D,5000,4.5,0,0,4,2,0,2,204,13,9,11,8,2,0,7.906666666666666,7.239999999999999,0.4,7.6,0.052631578947368425,0.09631578947368422,0.1,7.3999999999999995,0.013513513513513516,0.02407894736842106,11.4,3.9,70.0,0.05714285714285714,0.6514285714285715,0.5,0.32571428571428573,53.0,0.03773584905660377,0.32571428571428573,0.38,1.83,7.872710944026733,90.0,45.0,y,Latif Blessing
13,Cristian Roldan,SEA,M,4000,4.5777777777777775,0,0,4,1,12,3,144,12,4,4,1,1,0,7.379126213592234,7.051456310679613,0.0,9.2,0.0,0.0,0.2,7.600000000000001,0.026315789473684206,0.03869565217391305,12.5,5.2,48.0,0.08333333333333333,1.0416666666666665,0.25,0.26041666666666663,34.0,0.08823529411764706,0.7812500000000001,0.38,1.78,7.1715072463768115,82.4,0.0,y,Cristian Roldan
14,Francisco Ginella,LAFC,M,3800,3.7555555555555555,0,1,2,1,5,5,194,4,1,7,1,0,0,7.024260355029585,8.62189349112426,0.3,7.6,0.039473684210526314,0.07223684210526315,0.3,7.3999999999999995,0.04054054054054054,0.07223684210526317,11.4,3.9,70.0,0.02857142857142857,0.32571428571428573,0.5,0.16285714285714287,53.0,0.09433962264150944,0.8142857142857144,0.38,1.83,6.863321172754372,81.0,14.0,y,Francisco Ginella
15,Mark-Anthony Kaye,LAFC,M,5200,3.422222222222222,1,2,2,1,0,4,197,2,5,4,3,1,1,4.657792207792208,8.894805194805194,0.9,7.6,0.11842105263157895,0.2167105263157895,0.5,7.3999999999999995,0.06756756756756757,0.12039473684210529,11.4,3.9,70.0,0.02857142857142857,0.32571428571428573,0.5,0.16285714285714287,53.0,0.07547169811320754,0.6514285714285715,0.38,1.83,5.889473684210527,77.0,0.0,y,Mark-Anthony Kaye
16,Yeimar Gomez Andrade,SEA,D,3400,4.5,1,0,3,1,0,0,152,3,6,8,16,0,0,5.12,7.342222222222222,0.2,9.2,0.02173913043478261,0.03869565217391305,0.0,7.600000000000001,0.0,0.0,12.5,5.2,48.0,0.0625,0.78125,0.3333333333333333,0.26041666666666663,34.0,0.0,0.0,0.38,1.78,5.236623188405797,81.0,0.0,y,Yeimar Gomez Andrade
17,Dejan Jakovic,LAFC,D,3000,2.9444444444444446,0,0,0,0,0,3,151,1,0,5,7,0,0,5.270943396226414,5.270943396226414,0.0,7.6,0.0,0.0,0.1,7.3999999999999995,0.013513513513513516,0.02407894736842106,11.4,3.9,70.0,0.0,0.0,0.0,0.0,53.0,0.05660377358490566,0.4885714285714286,0.38,1.83,4.8851205844800685,90.0,28.33333333,y,Dejan Jakovic
18,Eddie Segura,LAFC,D,3200,4.266666666666667,0,0,0,0,0,1,257,1,4,5,9,0,0,3.4312500000000004,3.4312500000000004,0.0,7.6,0.0,0.0,0.0,7.3999999999999995,0.0,0.0,11.4,3.9,70.0,0.0,0.0,0.0,0.0,53.0,0.018867924528301886,0.16285714285714287,0.38,1.83,3.173247767857143,84.75,45.0,y,Eddie Segura
19,Xavier Arreaga,SEA,D,3600,2.0555555555555554,0,1,0,0,0,1,113,2,5,2,3,1,0,3.0454054054054054,5.234594594594595,0.0,9.2,0.0,0.0,0.4,7.600000000000001,0.05263157894736841,0.0773913043478261,12.5,5.2,48.0,0.0,0.0,0.0,0.0,34.0,0.029411764705882353,0.2604166666666667,0.38,1.78,2.5539536819428124,90.0,1.6666666669999999,y,Xavier Arreaga
